,nox_emissions
512,127.16438692403482
513,127.16438692403482
514,127.16438692403482
515,127.16438692403482
516,127.16438692403482
517,127.16438692403482
518,127.16438692403482
519,127.16438692403482
520,127.16438692403482
521,127.16438692403482
522,127.16438692403482
523,127.16438692403482
524,127.16438692403482
525,57.0
526,59.0
527,57.0
528,42.0
529,57.0
530,42.0
531,57.0
532,59.0
533,76.0
534,127.16438692403482
535,127.16438692403482
536,127.16438692403482
537,127.16438692403482
538,127.16438692403482
539,127.16438692403482
540,127.16438692403482
541,127.16438692403482
542,127.16438692403482
543,127.16438692403482
544,39.0
545,42.0
546,57.0
547,42.0
548,39.0
549,42.0
550,39.0
551,42.0
552,57.0
553,42.0
554,37.0
555,39.0
556,127.16438692403482
557,45.0
558,36.0
559,45.0
560,127.16438692403482
561,34.0
562,34.0
563,40.0
564,40.0
565,127.16438692403482
566,127.16438692403482
567,64.0
568,93.0
569,64.0
570,93.0
571,64.0
572,93.0
573,64.0
574,93.0
575,127.16438692403482
576,64.0
577,93.0
578,64.0
579,93.0
580,64.0
581,93.0
582,64.0
583,93.0
584,127.16438692403482
585,29.0
586,28.0
587,127.16438692403482
588,444.0
589,56.0
590,44.0
591,56.0
592,75.0
593,20.0
594,41.0
595,47.0
596,38.0
597,55.0
598,62.0
599,32.0
600,127.16438692403482
601,50.0
602,127.16438692403482
603,127.16438692403482
604,53.0
605,37.0
606,53.0
607,37.0
608,127.16438692403482
609,127.16438692403482
610,127.16438692403482
611,127.16438692403482
612,127.16438692403482
613,127.16438692403482
614,127.16438692403482
615,127.16438692403482
616,10.0
617,10.0
618,127.16438692403482
619,127.16438692403482
620,127.16438692403482
621,20.0
622,20.0
623,127.16438692403482
624,127.16438692403482
625,127.16438692403482
626,127.16438692403482
627,127.16438692403482
628,127.16438692403482
629,127.16438692403482
630,127.16438692403482
631,127.16438692403482
632,127.16438692403482
633,127.16438692403482
634,127.16438692403482
635,127.16438692403482
636,127.16438692403482
637,127.16438692403482
638,127.16438692403482
639,127.16438692403482
640,127.16438692403482
641,127.16438692403482
642,127.16438692403482
643,127.16438692403482
644,127.16438692403482
645,50.0
646,50.0
647,12.0
648,127.16438692403482
649,127.16438692403482
650,127.16438692403482
651,127.16438692403482
652,127.16438692403482
653,127.16438692403482
654,127.16438692403482
655,127.16438692403482
656,127.16438692403482
657,127.16438692403482
658,127.16438692403482
659,127.16438692403482
660,127.16438692403482
661,127.16438692403482
662,127.16438692403482
663,127.16438692403482
664,127.16438692403482
665,127.16438692403482
666,127.16438692403482
667,127.16438692403482
668,127.16438692403482
669,127.16438692403482
670,127.16438692403482
671,127.16438692403482
672,127.16438692403482
673,127.16438692403482
674,127.16438692403482
