,thc_emissions_[mg/km]
746,49.22662638179499
747,49.22662638179499
748,49.22662638179499
749,49.22662638179499
750,49.22662638179499
751,49.22662638179499
752,49.22662638179499
753,49.22662638179499
754,49.22662638179499
755,49.22662638179499
756,49.22662638179499
757,49.22662638179499
758,49.22662638179499
759,49.22662638179499
760,49.22662638179499
761,49.22662638179499
762,49.22662638179499
763,49.22662638179499
764,49.22662638179499
765,49.22662638179499
766,49.22662638179499
767,49.22662638179499
768,49.22662638179499
769,49.22662638179499
770,49.22662638179499
771,49.22662638179499
772,49.22662638179499
773,49.22662638179499
774,49.22662638179499
775,49.22662638179499
776,49.22662638179499
777,49.22662638179499
778,49.22662638179499
779,49.22662638179499
780,49.22662638179499
781,49.22662638179499
782,49.22662638179499
783,49.22662638179499
784,49.22662638179499
785,49.22662638179499
786,49.22662638179499
787,49.22662638179499
788,49.22662638179499
789,49.22662638179499
790,49.22662638179499
791,49.22662638179499
792,49.22662638179499
793,49.22662638179499
794,49.22662638179499
795,49.22662638179499
796,49.22662638179499
797,49.22662638179499
798,49.22662638179499
799,49.22662638179499
800,49.22662638179499
801,49.22662638179499
802,49.22662638179499
803,49.22662638179499
804,49.22662638179499
805,49.22662638179499
806,49.22662638179499
807,49.22662638179499
808,49.22662638179499
809,49.22662638179499
810,49.22662638179499
811,49.22662638179499
812,49.22662638179499
813,49.22662638179499
814,49.22662638179499
815,49.22662638179499
816,49.22662638179499
817,49.22662638179499
818,49.22662638179499
819,49.22662638179499
820,49.22662638179499
821,49.22662638179499
822,49.22662638179499
823,49.22662638179499
824,49.22662638179499
825,49.22662638179499
826,49.22662638179499
827,49.22662638179499
828,49.22662638179499
829,49.22662638179499
830,49.22662638179499
831,49.22662638179499
832,49.22662638179499
833,49.22662638179499
834,49.22662638179499
835,49.22662638179499
836,49.22662638179499
837,49.22662638179499
838,49.22662638179499
839,49.22662638179499
840,49.22662638179499
841,49.22662638179499
842,49.22662638179499
843,49.22662638179499
844,49.22662638179499
845,49.22662638179499
846,49.22662638179499
847,49.22662638179499
848,49.22662638179499
849,49.22662638179499
850,49.22662638179499
851,49.22662638179499
852,49.22662638179499
853,49.22662638179499
854,49.22662638179499
855,49.22662638179499
856,49.22662638179499
857,49.22662638179499
858,49.22662638179499
859,49.22662638179499
860,49.22662638179499
861,49.22662638179499
862,49.22662638179499
863,49.22662638179499
864,49.22662638179499
865,5.0
866,4.0
867,6.0
868,6.0
869,12.0
870,43.0
871,49.22662638179499
872,49.22662638179499
873,49.22662638179499
874,49.22662638179499
875,49.22662638179499
876,49.22662638179499
877,49.22662638179499
878,5.0
879,18.0
880,49.22662638179499
881,49.22662638179499
882,49.22662638179499
883,49.22662638179499
884,49.22662638179499
885,49.22662638179499
886,49.22662638179499
887,49.22662638179499
888,49.22662638179499
889,49.22662638179499
890,49.22662638179499
891,49.22662638179499
892,49.22662638179499
893,49.22662638179499
894,49.22662638179499
895,49.22662638179499
896,49.22662638179499
897,49.22662638179499
898,49.22662638179499
899,49.22662638179499
900,49.22662638179499
901,49.22662638179499
902,49.22662638179499
903,49.22662638179499
904,49.22662638179499
905,49.22662638179499
906,49.22662638179499
907,49.22662638179499
908,49.22662638179499
909,49.22662638179499
910,49.22662638179499
911,49.22662638179499
912,49.22662638179499
913,49.22662638179499
914,49.22662638179499
915,49.22662638179499
916,49.22662638179499
917,49.22662638179499
918,49.22662638179499
919,49.22662638179499
920,49.22662638179499
921,49.22662638179499
922,49.22662638179499
923,49.22662638179499
924,49.22662638179499
925,49.22662638179499
926,49.22662638179499
927,49.22662638179499
928,49.22662638179499
929,49.22662638179499
930,49.22662638179499
931,49.22662638179499
932,49.22662638179499
933,49.22662638179499
934,49.22662638179499
935,49.22662638179499
936,49.22662638179499
937,49.22662638179499
938,49.22662638179499
939,49.22662638179499
940,49.22662638179499
941,49.22662638179499
942,49.22662638179499
943,49.22662638179499
944,60.0
945,51.0
946,49.22662638179499
947,49.22662638179499
948,49.22662638179499
949,49.22662638179499
950,49.22662638179499
951,49.22662638179499
952,49.22662638179499
953,49.22662638179499
954,87.0
955,68.0
956,55.0
957,49.22662638179499
958,144.0
959,138.0
960,122.0
961,49.22662638179499
962,49.22662638179499
963,49.22662638179499
964,49.22662638179499
965,49.22662638179499
966,49.22662638179499
967,49.22662638179499
968,49.22662638179499
969,46.0
970,46.0
971,88.0
972,157.0
973,88.0
974,157.0
975,157.0
976,49.22662638179499
977,49.22662638179499
978,49.22662638179499
979,49.22662638179499
980,49.22662638179499
981,49.22662638179499
982,49.22662638179499
983,49.22662638179499
984,49.22662638179499
985,49.22662638179499
986,49.22662638179499
987,49.22662638179499
988,49.22662638179499
989,49.22662638179499
990,49.22662638179499
991,49.22662638179499
992,49.22662638179499
993,49.22662638179499
994,49.22662638179499
995,49.22662638179499
996,49.22662638179499
997,49.22662638179499
998,49.22662638179499
999,49.22662638179499
1000,49.22662638179499
1001,49.22662638179499
1002,49.22662638179499
1003,49.22662638179499
1004,49.22662638179499
1005,49.22662638179499
1006,49.22662638179499
1007,49.22662638179499
1008,49.22662638179499
1009,49.22662638179499
1010,49.22662638179499
1011,49.22662638179499
1012,49.22662638179499
1013,49.22662638179499
1014,49.22662638179499
1015,49.22662638179499
1016,49.22662638179499
1017,49.22662638179499
1018,49.22662638179499
1019,49.22662638179499
1020,49.22662638179499
1021,49.22662638179499
1022,49.22662638179499
1023,49.22662638179499
1024,49.22662638179499
1025,49.22662638179499
1026,49.22662638179499
1027,49.22662638179499
1028,100.0
1029,131.0
1030,49.22662638179499
1031,124.0
1032,132.0
1033,42.0
1034,79.0
1035,49.22662638179499
1036,49.22662638179499
1037,49.22662638179499
1038,49.22662638179499
1039,49.22662638179499
1040,180.0
1041,72.0
1042,178.0
1043,72.0
1044,178.0
1045,79.0
1046,79.0
1047,180.0
1048,54.0
1049,88.0
1050,207.0
1051,168.0
1052,192.0
1053,240.0
1054,49.22662638179499
1055,49.22662638179499
1056,49.22662638179499
1057,49.22662638179499
1058,49.22662638179499
1059,49.22662638179499
1060,49.22662638179499
1061,49.22662638179499
1062,49.22662638179499
1063,49.22662638179499
1064,49.22662638179499
1065,49.22662638179499
1066,49.22662638179499
1067,49.22662638179499
1068,49.22662638179499
1069,49.22662638179499
1070,49.22662638179499
1071,49.22662638179499
1072,49.22662638179499
1073,49.22662638179499
1074,49.22662638179499
1075,49.22662638179499
1076,49.22662638179499
1077,49.22662638179499
1078,49.22662638179499
1079,49.22662638179499
1080,49.22662638179499
1081,49.22662638179499
1082,49.22662638179499
1083,49.22662638179499
1084,49.22662638179499
1085,49.22662638179499
1086,49.22662638179499
1087,49.22662638179499
1088,49.22662638179499
1089,49.22662638179499
1090,49.22662638179499
1091,49.22662638179499
1092,49.22662638179499
1093,49.22662638179499
1094,49.22662638179499
1095,49.22662638179499
1096,49.22662638179499
1097,49.22662638179499
1098,49.22662638179499
1099,49.22662638179499
1100,49.22662638179499
1101,49.22662638179499
1102,49.22662638179499
1103,49.22662638179499
1104,49.22662638179499
1105,49.22662638179499
1106,49.22662638179499
1107,49.22662638179499
1108,49.22662638179499
1109,49.22662638179499
1110,49.22662638179499
1111,11.0
1112,49.22662638179499
1113,49.22662638179499
1114,49.22662638179499
1115,49.22662638179499
1116,49.22662638179499
1117,49.22662638179499
1118,49.22662638179499
1119,49.22662638179499
1120,49.22662638179499
1121,11.0
1122,49.22662638179499
1123,49.22662638179499
1124,49.22662638179499
1125,49.22662638179499
1126,49.22662638179499
1127,49.22662638179499
1128,49.22662638179499
1129,49.22662638179499
1130,49.22662638179499
1131,49.22662638179499
1132,49.22662638179499
1133,49.22662638179499
1134,49.22662638179499
1135,49.22662638179499
1136,49.22662638179499
1137,49.22662638179499
1138,49.22662638179499
1139,49.22662638179499
1140,49.22662638179499
1141,49.22662638179499
1142,49.22662638179499
1143,30.0
1144,49.22662638179499
1145,49.22662638179499
1146,49.22662638179499
1147,49.22662638179499
1148,49.22662638179499
1149,36.0
1150,49.22662638179499
1151,49.22662638179499
1152,49.22662638179499
1153,49.22662638179499
1154,49.22662638179499
1155,77.0
1156,49.22662638179499
1157,49.22662638179499
1158,49.22662638179499
1159,49.22662638179499
1160,163.0
1161,49.22662638179499
1162,49.22662638179499
1163,49.22662638179499
1164,49.22662638179499
1165,49.22662638179499
1166,49.22662638179499
1167,49.22662638179499
1168,49.22662638179499
1169,49.22662638179499
1170,49.22662638179499
1171,49.22662638179499
