,fuel_cost_12000_miles
534,1548.0944902824476
535,1548.0944902824476
536,1548.0944902824476
537,1548.0944902824476
538,1548.0944902824476
539,1548.0944902824476
540,1548.0944902824476
541,1548.0944902824476
542,1548.0944902824476
543,1548.0944902824476
544,1548.0944902824476
545,1548.0944902824476
546,1548.0944902824476
547,1548.0944902824476
548,1548.0944902824476
549,1548.0944902824476
550,1548.0944902824476
551,1548.0944902824476
552,1548.0944902824476
553,1548.0944902824476
554,1548.0944902824476
555,1548.0944902824476
556,1548.0944902824476
557,1548.0944902824476
558,1548.0944902824476
559,1548.0944902824476
560,1548.0944902824476
561,1548.0944902824476
562,1548.0944902824476
563,1548.0944902824476
564,1548.0944902824476
565,1548.0944902824476
566,1548.0944902824476
567,1548.0944902824476
568,1548.0944902824476
569,1548.0944902824476
570,1548.0944902824476
571,1548.0944902824476
572,1548.0944902824476
573,1548.0944902824476
574,1548.0944902824476
575,1548.0944902824476
576,1548.0944902824476
577,1548.0944902824476
578,1548.0944902824476
579,1548.0944902824476
580,1548.0944902824476
581,1548.0944902824476
582,1548.0944902824476
583,1548.0944902824476
584,1548.0944902824476
585,1548.0944902824476
586,1548.0944902824476
587,1548.0944902824476
588,1548.0944902824476
589,1548.0944902824476
590,1548.0944902824476
591,1548.0944902824476
592,1548.0944902824476
593,1548.0944902824476
594,1548.0944902824476
595,1548.0944902824476
596,1548.0944902824476
597,1548.0944902824476
598,1548.0944902824476
599,1548.0944902824476
600,1548.0944902824476
601,1548.0944902824476
602,1548.0944902824476
603,1548.0944902824476
604,1548.0944902824476
605,1548.0944902824476
606,1548.0944902824476
607,1548.0944902824476
608,1548.0944902824476
609,1548.0944902824476
610,1548.0944902824476
611,1548.0944902824476
612,1548.0944902824476
613,1548.0944902824476
614,1548.0944902824476
615,1548.0944902824476
616,1548.0944902824476
617,1548.0944902824476
618,1548.0944902824476
619,1548.0944902824476
620,1548.0944902824476
621,1548.0944902824476
622,1548.0944902824476
623,1548.0944902824476
624,1548.0944902824476
625,1548.0944902824476
626,1548.0944902824476
627,1548.0944902824476
628,1548.0944902824476
629,1548.0944902824476
630,1548.0944902824476
631,1548.0944902824476
632,1548.0944902824476
633,1548.0944902824476
634,1548.0944902824476
635,1548.0944902824476
636,1548.0944902824476
