,manufacturer,transmission,engine_capacity,noise_level,euro_standard_,fuel_type,Petrol,Diesel,Petrol Hybrid
38,0,3,1595.0,70.0,2.0,0,0,0,0
39,0,0,1781.0,72.0,2.0,0,0,0,0
40,0,3,1781.0,71.0,2.0,0,0,0,0
41,0,0,1781.0,71.0,2.0,0,0,0,0
42,0,3,1781.0,70.0,2.0,0,0,0,0
43,0,7,1781.0,74.0,2.0,0,0,0,0
44,0,0,1781.0,71.0,2.0,0,0,0,0
45,0,3,1781.0,71.0,2.0,0,0,0,0
46,0,0,1896.0,73.0,2.0,0,0,0,0
47,0,3,1896.0,73.0,2.0,0,0,0,0
48,0,0,1595.0,74.0,2.0,0,0,0,0
49,0,3,1595.0,72.0,2.0,0,0,0,0
50,0,0,1781.0,73.0,2.0,0,0,0,0
51,0,3,1781.0,69.0,2.0,0,0,0,0
52,0,0,1781.0,72.0,2.0,0,0,0,0
53,0,4,1781.0,70.0,2.0,0,0,0,0
54,0,7,1781.0,72.0,2.0,0,0,0,0
55,0,0,1896.0,73.0,2.0,0,0,0,0
56,0,3,1896.0,70.0,2.0,0,0,0,0
57,0,0,2393.0,73.0,2.0,0,0,0,0
58,0,4,2393.0,73.0,2.0,0,0,0,0
59,0,2,2496.0,73.0,2.0,0,0,0,0
60,0,4,2496.0,73.0,2.0,0,0,0,0
61,0,5,2496.0,73.0,2.0,0,0,0,0
62,0,6,2496.0,72.0,2.0,0,0,0,0
63,0,7,2771.0,73.0,2.0,0,0,0,0
64,0,6,2771.0,74.0,2.0,0,0,0,0
65,0,0,1896.0,72.0,3.0,0,0,0,0
66,0,4,1896.0,73.0,3.0,0,0,0,0
67,0,0,1781.0,72.0,2.0,0,0,0,0
68,0,4,1781.0,72.0,2.0,0,0,0,0
69,0,7,1781.0,74.0,2.0,0,0,0,0
70,0,0,1896.0,72.0,2.0,0,0,0,0
71,0,3,1896.0,72.0,2.0,0,0,0,0
72,0,0,2393.0,72.0,2.0,0,0,0,0
73,0,4,2393.0,72.0,2.0,0,0,0,0
74,0,0,2393.0,73.0,2.0,0,0,0,0
75,0,2,2496.0,73.0,2.0,0,0,0,0
76,0,4,2496.0,73.0,2.0,0,0,0,0
77,0,8,2671.0,73.0,2.0,0,0,0,0
78,0,9,2671.0,73.0,2.0,0,0,0,0
79,0,7,2771.0,72.0,2.0,0,0,0,0
80,0,6,2771.0,72.0,2.0,0,0,0,0
81,0,6,4172.0,74.0,2.0,0,0,0,0
82,0,5,2496.0,73.0,3.0,0,0,0,0
83,0,6,2496.0,72.0,3.0,0,0,0,0
84,0,10,2771.0,72.0,2.0,0,0,0,0
85,0,6,3697.0,73.0,2.0,0,0,0,0
86,0,6,4172.0,74.0,2.0,0,0,0,0
87,0,6,4172.0,74.0,2.0,0,0,0,0
88,0,11,1781.0,72.0,2.0,0,0,0,0
89,0,11,2598.0,72.0,2.0,0,0,0,0
90,0,12,2598.0,73.0,2.0,0,0,0,0
91,0,11,2771.0,73.0,2.0,0,0,0,0
92,0,12,2771.0,74.0,2.0,0,0,0,0
93,0,7,1781.0,74.0,2.0,0,0,0,0
94,0,5,1781.0,73.0,2.0,0,0,0,0
95,0,7,1781.0,74.0,2.0,0,0,0,0
96,0,5,1781.0,73.0,2.0,0,0,0,0
97,0,0,1895.0,74.0,3.0,0,0,0,0
98,0,3,1895.0,72.0,3.0,0,0,0,0
99,0,0,1665.0,74.0,2.0,0,0,0,0
100,0,0,1895.0,74.0,2.0,0,0,0,0
101,0,3,1895.0,71.0,2.0,0,0,0,0
102,0,0,3201.0,75.0,2.0,0,0,0,0
103,0,0,3201.0,75.0,2.0,0,0,0,0
104,0,0,1895.0,74.0,3.0,0,0,0,0
105,0,0,1991.0,74.0,2.0,0,0,0,0
106,0,3,1991.0,73.0,2.0,0,0,0,0
107,0,0,2793.0,75.0,3.0,0,0,0,0
108,0,3,2793.0,74.0,3.0,0,0,0,0
109,0,0,2979.0,74.0,3.0,0,0,0,0
110,0,4,2979.0,74.0,3.0,0,0,0,0
111,0,0,1895.0,73.0,3.0,0,0,0,0
112,0,3,1895.0,70.0,3.0,0,0,0,0
