,fuel_cost_10000-12000_miles
1004,541.8692
1005,541.8692
1006,541.8692
1007,541.8692
1008,541.8692
1009,541.8692
1010,541.8692
1011,541.8692
1012,541.8692
1013,541.8692
1014,541.8692
1015,541.8692
1016,541.8692
1017,541.8692
1018,541.8692
1019,541.8692
1020,541.8692
1021,541.8692
1022,541.8692
1023,541.8692
1024,541.8692
1025,541.8692
1026,541.8692
1027,541.8692
1028,541.8692
1029,541.8692
1030,541.8692
1031,541.8692
1032,541.8692
1033,541.8692
1034,541.8692
1035,541.8692
1036,541.8692
1037,541.8692
1038,541.8692
1039,541.8692
1040,541.8692
1041,541.8692
1042,541.8692
1043,541.8692
1044,541.8692
1045,541.8692
1046,541.8692
1047,541.8692
1048,541.8692
1049,541.8692
1050,541.8692
1051,541.8692
1052,541.8692
1053,541.8692
1054,541.8692
1055,541.8692
1056,541.8692
1057,541.8692
1058,541.8692
1059,541.8692
1060,541.8692
1061,541.8692
1062,541.8692
1063,541.8692
1064,541.8692
1065,541.8692
1066,541.8692
1067,541.8692
1068,541.8692
1069,541.8692
1070,541.8692
1071,541.8692
1072,541.8692
1073,541.8692
1074,541.8692
1075,541.8692
1076,541.8692
1077,541.8692
1078,541.8692
1079,541.8692
1080,541.8692
1081,541.8692
1082,541.8692
1083,541.8692
1084,541.8692
1085,541.8692
1086,541.8692
1087,541.8692
1088,541.8692
1089,541.8692
1090,541.8692
1091,541.8692
1092,541.8692
1093,541.8692
1094,541.8692
1095,541.8692
1096,541.8692
1097,541.8692
1098,541.8692
1099,541.8692
1100,541.8692
1101,541.8692
1102,541.8692
1103,541.8692
1104,541.8692
1105,541.8692
1106,541.8692
1107,541.8692
1108,541.8692
1109,541.8692
1110,541.8692
1111,541.8692
1112,541.8692
1113,541.8692
1114,541.8692
1115,541.8692
1116,541.8692
1117,541.8692
1118,541.8692
1119,541.8692
1120,541.8692
1121,541.8692
1122,541.8692
1123,541.8692
1124,541.8692
1125,541.8692
1126,541.8692
1127,541.8692
1128,541.8692
1129,541.8692
1130,541.8692
